source,target
Kelvin_Sampson,Silvio_Berlusconi
Michelle_Yeoh,Lynne_Cheney
Daisy_Fuentes,Eric_Robert_Rudolph
Yasar_Yakis,Bob_Stoops
Carlos_Menem,Christopher_Walken
Amer_al-Saadi,Ludivine_Sagnier
Roger_Moore,John_McCain
James_McGreevey,Mathias_Reichhold
Claudia_Schiffer,Kirk_Johnson
Mary_Carey,Alex_Sink
Megan_Mullally,Noelle_Bush
Martin_Verkerk,Guillermo_Canas
Ashton_Kutcher,Evan_Rachel_Wood
Mohammed_Al-Douri,Joseph_Biden
Bernard_Landry,Bill_Graham
Robert_Zoellick,Thomas_Rupprath
Lino_Oviedo,Amer_al-Saadi
Carlos_Vives,Don_Siegelman
