source,target
Princess_Caroline,Jose_Maria_Aznar
Gil_de_Ferran,Spencer_Abraham
Akhmed_Zakayev,Renee_Zellweger
Jimmy_Carter,Hu_Jintao
Matthew_Broderick,Jonathan_Edwards
Sharon_Stone,Ozzy_Osbourne
Jean-Pierre_Raffarin,Maria_Shriver
Ian_Thorpe,Eduardo_Duhalde
Richard_Virenque,Nicolas_Cage
Ray_Allen,Norm_Coleman
Bob_Stoops,Ashanti
William_Bulger,Richard_Myers
Strom_Thurmond,Candie_Kung
Martin_Scorsese,Lisa_Marie_Presley
David_Beckham,Richard_Gere
Melanie_Griffith,James_Cameron
Russell_Simmons,Mark_Richt
Ronald_Reagan,Marc_Grossman
Arminio_Fraga,Pedro_Malan
Grant_Hackett,Felipe_Perez_Roque
Ann_Veneman,Stanley_McChrystal
Juan_Ignacio_Chela,Mary-Kate_Olsen
Charles_Taylor,Hugo_Chavez
Salma_Hayek,Lars_Von_Trier
Vladimiro_Montesinos,Wu_Yi
Samuel_Waksal,Katie_Harman
John_Swofford,Laila_Ali
Ari_Fleischer,Mireya_Moscoso
John_Abizaid,Yasser_Arafat
Paula_Radcliffe,Gary_Doer
Condoleezza_Rice,Andy_Roddick
Nancy_Pelosi,Ludivine_Sagnier
Vladimiro_Montesinos,John_Paul_II
Glafcos_Clerides,Bernard_Landry
Jeremy_Greenstock,Lucio_Gutierrez
Mitchell_Daniels,Juan_Manuel_Marquez
Valery_Giscard_dEstaing,Mohammad_Khatami
Edward_Kennedy,Ken_Macha
Donatella_Versace,James_Gandolfini
Hillary_Clinton,Tom_Hanks
Robbie_Williams,Yoriko_Kawaguchi
Pierce_Brosnan,Gary_Doer
Mariangel_Ruiz_Torrealba,Lenny_Wilkens
Todd_Haynes,Evan_Rachel_Wood
Juanes,Shaul_Mofaz
Lisa_Marie_Presley,Ray_Allen
John_McCain,Norm_Coleman
Prince_Claus,Larry_Coker
Ben_Howland,Rebecca_Romijn-Stamos
Jim_OBrien,Michael_Moore
Martina_McBride,Melanie_Griffith
