source,target
Mikhail_Youzhny,Tom_Watson
Jonathan_Edwards,Bruce_Springsteen
Anders_Fogh_Rasmussen,Ali_Khamenei
Pedro_Solbes,John_Allen_Muhammad
Sergio_Vieira_De_Mello,Juan_Manuel_Marquez
Roger_Moore,Carlos_Ortega
Stockard_Channing,Michael_Schumacher
Bernard_Law,Martina_McBride
Tom_Ridge,Branko_Crvenkovski
Lance_Armstrong,Terry_McAuliffe
Samuel_Waksal,Christine_Gregoire
Scott_Peterson,Jeremy_Greenstock
James_Traficant,Richard_Myers
Charles_Moose,Leonid_Kuchma
Jan-Michael_Gambill,Amelia_Vega
Muhammad_Saeed_al-Sahhaf,Keith_Bogans
Theodore_Tweed_Roosevelt,Nicanor_Duarte_Frutos
Christian_Longo,Jose_Sarney
Michael_Jordan,Pedro_Solbes
Cherie_Blair,Paula_Radcliffe
Ari_Fleischer,Jesse_Ventura
Joseph_Biden,Jacques_Chirac
Marc_Grossman,Salman_Rushdie
Ashanti,Larry_Thompson
Rachel_Hunter,Edmund_Hillary
Rita_Wilson,Ariel_Sharon
Chick_Hearn,Carlo_Ancelotti
Maria_Soledad_Alvear_Valenzuela,Sarah_Hughes
Angela_Bassett,Jon_Corzine
Steven_Spielberg,Christine_Todd_Whitman
Natalie_Coughlin,Ozzy_Osbourne
Walter_Mondale,Megawati_Sukarnoputri
