source,target
Win_Aung,Fabrice_Santoro
Tom_Crean,Ludivine_Sagnier
Milo_Maestrecampo,Ken_Macha
Paul_Martin,Ahmed_Chalabi
Antonio_Palocci,Michael_Powell
Phan_Van_Khai,Wolfgang_Schuessel
Lisa_Marie_Presley,Carson_Palmer
Moshe_Katsav,Woody_Allen
Nia_Vardalos,Kathleen_Kennedy_Townsend
Steve_Ballmer,Atal_Bihari_Vajpayee
Doris_Schroeder,Jim_Hahn
Bruce_Springsteen,Jan-Michael_Gambill
John_Travolta,Paul_ONeill
Heather_Mills,Kim_Dae-jung
Ronald_Reagan,Juan_Carlos_Ferrero
Chan_Gailey,Mohammed_Baqir_al-Hakim
Allyson_Felix,Fujio_Cho
Al_Gore,Marieta_Chrousala
Maria_Soledad_Alvear_Valenzuela,Hitomi_Soga
Justin_Guarini,Oscar_De_La_Hoya
Pedro_Almodovar,Thaksin_Shinawatra
Colin_Farrell,Tiger_Woods
Makhdoom_Amin_Fahim,Todd_Haynes
Art_Howe,Pascal_Quignard
Lee_Hoi-chang,Ronaldo_Luis_Nazario_de_Lima
Susilo_Bambang_Yudhoyono,Mohammed_Al-Douri
William_Donaldson,Vojislav_Kostunica
Thomas_OBrien,Candice_Bergen
Michelle_Pfeiffer,Yasar_Yakis
Natalie_Coughlin,Carolyn_Dawn_Johnson
Paul_Shanley,Kelly_Clarkson
William_Bratton,James_Cameron
Arturo_Gatti,Michael_Powell
Julianne_Moore,Akbar_Hashemi_Rafsanjani
Amanda_Bynes,Matthew_Broderick
Clara_Harris,Arianna_Huffington
Elizabeth_Smart,Bulent_Ecevit
Kelvin_Sampson,Conan_OBrien
Muhammad_Saeed_al-Sahhaf,Paul_Wolfowitz
Giuseppe_Gibilisco,Sandra_Bullock
Sila_Calderon,Javier_Weber
Jennifer_Aniston,Robert_Mueller
Bruce_Springsteen,Franz_Fischler
Ali_Khamenei,Abdoulaye_Wade
Trent_Lott,Bono
Tubby_Smith,Mick_Jagger
Ai_Sugiyama,Mariah_Carey
Sachiko_Yamada,Matthew_Broderick
Michael_Phelps,Anna_Kournikova
Russell_Simmons,Jong_Wook_Lee
Prince_Willem-Alexander,Claudia_Schiffer
Lou_Piniella,Vicente_Fernandez
Ray_Allen,Norodom_Sihanouk
Christopher_Reeve,Oswaldo_Paya
Bruce_Springsteen,Hipolito_Mejia
Recep_Tayyip_Erdogan,Hu_Jintao
Bill_McBride,Grant_Hackett
Laura_Linney,George_W_Bush
Sheryl_Crow,Carlos_Vives
Rick_Carlisle,Larry_Thompson
Bill_Frist,Demi_Moore
Jay_Leno,Jacques_Rogge
Carlos_Menem,Chan_Gailey
Mariah_Carey,Catherine_Zeta-Jones
Mark_Gottfried,Wen_Jiabao
Sally_Field,Jon_Voight
Fernando_Gonzalez,Ilan_Ramon
Paul_Tagliabue,Billy_Crystal
Juan_Carlos_Ferrero,Juanes
Chan_Gailey,Daisy_Fuentes
Constance_Marie,Ana_Palacio
David_Heymann,Alvaro_Silva_Calderon
Sophia_Loren,Sam_Torrance
Matthew_Broderick,Jeb_Bush
Fabrice_Santoro,Kurt_Warner
Mahmoud_Abbas,Jennifer_Keller
Ali_Naimi,Larry_Ellison
Vojislav_Kostunica,Mariah_Carey
Roman_Polanski,Albert_Costa
Russell_Simmons,Martina_Hingis
Richard_Virenque,George_Lopez
Liza_Minnelli,Pamela_Anderson
Alejandro_Avila,Edwina_Currie
Akbar_Hashemi_Rafsanjani,Ben_Curtis
Sean_Patrick_OMalley,Maria_Soledad_Alvear_Valenzuela
Justine_Henin,Carrie-Anne_Moss
Monica_Lewinsky,Sepp_Blatter
Alvaro_Uribe,Adolfo_Aguilar_Zinser
Sergey_Lavrov,Martin_Verkerk
Gerhard_Schroeder,Prince_Charles
Charles_Bronson,Victoria_Clarke
Lou_Piniella,Hilary_Duff
Antonio_Banderas,Justin_Timberlake
John_Malkovich,Marco_Antonio_Barrera
Sharon_Stone,Norodom_Sihanouk
Gianna_Angelopoulos-Daskalaki,Kamal_Kharrazi
David_Nalbandian,Lenny_Wilkens
Alvaro_Noboa,John_Travolta
Jeb_Bush,Gary_Doer
