source,target
John_Howard,Wen_Jiabao
Bill_Gates,Megan_Mullally
Janet_Napolitano,John_Malkovich
Mary_Steenburgen,Kwon_Yang-sook
Matt_Doherty,Adolfo_Aguilar_Zinser
Jim_Furyk,Amelie_Mauresmo
Prince_Claus,Cate_Blanchett
Thomas_Fargo,Michelle_Yeoh
Antony_Leung,Abdullah_al-Attiyah
John_Swofford,Albert_Costa
Angelina_Jolie,Paul_McCartney
Rick_Carlisle,James_Gandolfini
Edwina_Currie,Jerry_Regier
Felipe_Perez_Roque,Candie_Kung
Jesse_Jackson,Ian_McKellen
Arturo_Gatti,LeBron_James
Cruz_Bustamante,Hugh_Grant
Bob_Graham,Hosni_Mubarak
Kristanna_Loken,Marat_Safin
Clara_Harris,Sourav_Ganguly
Ray_Romano,Kim_Ryong-sung
James_Cameron,Mariah_Carey
Hugo_Chavez,Ben_Affleck
Oswaldo_Paya,Edwina_Currie
Lleyton_Hewitt,Naoto_Kan
Rachel_Griffiths,Andy_Roddick
Natasha_McElhone,Ariel_Sharon
Horst_Koehler,Jim_Tressel
Bulent_Ecevit,Hee-Won_Han
