source,target
Bulent_Ecevit,William_Bulger
George_Clooney,Jack_Nicholson
Wolfgang_Schuessel,Jennifer_Connelly
Sean_Penn,Mike_Martz
Valentino_Rossi,Junichiro_Koizumi
Carmen_Electra,Tariq_Aziz
Chen_Shui-bian,Christopher_Walken
Bob_Huggins,Mohammad_Khatami
Li_Peng,Abel_Pacheco
James_Kopp,Woody_Allen
Charlton_Heston,Michael_Powell
Heizo_Takenaka,Gordon_Brown
Jose_Canseco,Doris_Roberts
Madonna,Elton_John
Roger_Moore,Paul_Wellstone
Marty_Mornhinweg,Ann_Veneman
George_Voinovich,Enrique_Bolanos
Larry_Thompson,Placido_Domingo
Elsa_Zylberstein,Paul_Shanley
Joseph_Biden,Katherine_Harris
Nabil_Shaath,Laila_Ali
Anastasia_Myskina,Lino_Oviedo
Ernie_Els,Megan_Mullally
Sarah_Jessica_Parker,Akbar_Hashemi_Rafsanjani
Ronald_Reagan,James_Cunningham
Michelle_Kwan,Salma_Hayek
Arminio_Fraga,Gordon_Brown
Valery_Giscard_dEstaing,Charles_Bronson
JK_Rowling,Sean_Astin
Katherine_Harris,Edward_Lu
Carolyn_Dawn_Johnson,Tiger_Woods
Nia_Vardalos,Branko_Crvenkovski
Chanda_Rubin,Emanuel_Ginobili
Howard_Dean,Wu_Yi
Justin_Guarini,Tim_Allen
Mohammed_Baqir_al-Hakim,Ai_Sugiyama
Mahmoud_Abbas,Doris_Schroeder
George_Robertson,Antony_Leung
Sarah_Michelle_Gellar,Amelie_Mauresmo
Chanda_Rubin,Makhdoom_Amin_Fahim
Don_Siegelman,Michael_Moore
Noelle_Bush,Emma_Thompson
Jong_Wook_Lee,Ashton_Kutcher
Jim_Hahn,Li_Peng
Don_Siegelman,Orlando_Bloom
Vanessa_Redgrave,Monica_Bellucci
Gordon_Brown,Vince_Carter
Katherine_Harris,Jerry_Regier
Sean_Penn,Wang_Yingfan
Rachel_Hunter,David_Heymann
Jayson_Williams,Vicente_Fox
Antonio_Trillanes,John_Reid
Christina_Aguilera,Atal_Bihari_Vajpayee
James_Kelly,Win_Aung
Noelle_Bush,Carrie-Anne_Moss
Li_Zhaoxing,Moshe_Katsav
Amer_al-Saadi,Vladimir_Spidla
Azra_Akin,Guillermo_Coria
Bill_Callahan,Princess_Caroline
John_Travolta,Fabrice_Santoro
Silvia_Farina_Elia,Kirk_Johnson
Roy_Williams,Heidi_Klum
Andy_Roddick,Rachel_Hunter
Sila_Calderon,Alejandro_Toledo
Mikhail_Kasyanov,John_Kerry
David_Beckham,Gray_Davis
Ben_Curtis,Richard_Gere
Kevin_Spacey,Zico
Prince_Claus,Tom_Ridge
Brad_Johnson,Toshihiko_Fukui
Benazir_Bhutto,Herb_Sendek
Colin_Farrell,Fred_Eckhard
Kirk_Johnson,Lou_Piniella
Matthew_Broderick,Tariq_Aziz
Emma_Thompson,Paul-Henri_Mathieu
Adrien_Brody,Renee_Zellweger
Justin_Guarini,Nancy_Pelosi
Steve_Nash,Matthew_Broderick
Anders_Fogh_Rasmussen,Osama_bin_Laden
Sarah_Hughes,Christina_Aguilera
Taufik_Hidayat,David_Beckham
Herb_Sendek,Donald_Pettit
Daisy_Fuentes,Javier_Solana
Elizabeth_Dole,Franz_Muentefering
Elijah_Wood,Joe_Torre
Anna_Kournikova,Larry_Ellison
Sarah_Jessica_Parker,Angelo_Reyes
Naji_Sabri,Hal_Gehman
Mary_Carey,Denzel_Washington
Jorge_Batlle,Fred_Thompson
Bill_Callahan,Toni_Braxton
Monica_Seles,Harry_Schmidt
Queen_Elizabeth_II,Carlo_Ancelotti
Claudia_Schiffer,Princess_Caroline
William_Bulger,Lisa_Marie_Presley
Jim_Tressel,Kim_Jong-Il
Jose_Manuel_Durao_Barroso,Thomas_OBrien
Clare_Short,Conchita_Martinez
Zhu_Rongji,Adrien_Brody
Dominique_de_Villepin,Frank_Cassell
Michael_Winterbottom,Anders_Fogh_Rasmussen
Ludivine_Sagnier,David_Trimble
Aaron_Peirsol,Clint_Eastwood
Jason_Kidd,Julie_Gerberding
Bud_Selig,Wayne_Gretzky
Rafael_Ramirez,Carolina_Kluft
Tommy_Thompson,Edwina_Currie
Brad_Johnson,Laila_Ali
Prince_Willem-Alexander,Anastasia_Myskina
Franz_Muentefering,Vince_Carter
Thaksin_Shinawatra,Thomas_Fargo
Pedro_Almodovar,Fernando_Vargas
Bill_Simon,Angela_Bassett
Cherie_Blair,Kelly_Clarkson
Milo_Maestrecampo,Yashwant_Sinha
Marc_Grossman,Keith_Bogans
Gus_Van_Sant,Fidel_Castro
Tim_Duncan,Tassos_Papadopoulos
Jose_Canseco,Jennifer_Connelly
Jiang_Zemin,Nadia_Petrova
Clare_Short,Kim_Yong-il
Rudolph_Giuliani,Nia_Vardalos
Sean_OKeefe,Juan_Manuel_Marquez
Jim_Hahn,Anders_Ebbeson
JK_Rowling,Mike_Myers
Atal_Bihari_Vajpayee,Mathias_Reichhold
Yoriko_Kawaguchi,Amelia_Vega
Kelly_Clarkson,Jennifer_Connelly
John_Reid,Mitchell_Daniels
Jan_Ullrich,Hamid_Karzai
Sarah_Jessica_Parker,Gloria_Macapagal_Arroyo
Lance_Armstrong,Thomas_Fargo
Arturo_Gatti,Bob_Stoops
James_Cameron,Natalie_Coughlin
Nia_Vardalos,Nicolas_Cage
Ann_Veneman,Russell_Simmons
Luis_Gonzalez_Macchi,Patricia_Clarkson
Michael_Schumacher,Tom_Daschle
Tim_Allen,Roseanne_Barr
Zoran_Djindjic,Spencer_Abraham
Anders_Ebbeson,Justin_Timberlake
Colin_Farrell,David_Wells
Lucio_Gutierrez,Britney_Spears
Jay_Garner,Annette_Lu
