source,target
Harrison_Ford,Jennifer_Capriati
Julianne_Moore,Gary_Doer
Larry_Coker,Rick_Barnes
Gunter_Pleuger,Eduardo_Duhalde
Meryl_Streep,Mireya_Moscoso
Sharon_Stone,Abdoulaye_Wade
Robbie_Williams,Orlando_Bloom
Barbra_Streisand,Cameron_Diaz
Marco_Antonio_Barrera,Kimi_Raikkonen
Cruz_Bustamante,Mick_Jagger
Martha_Burk,Claire_Danes
Ben_Affleck,Bob_Hope
Rick_Carlisle,Kim_Dae-jung
Angelina_Jolie,Jose_Serra
Moshe_Katsav,Demi_Moore
Chan_Gailey,Dennis_Kucinich
Jeremy_Greenstock,Sadie_Frost
George_HW_Bush,Charles_Taylor
LK_Advani,Luciano_Pavarotti
Bob_Huggins,Paul-Henri_Mathieu
Sharon_Stone,Cindy_Crawford
Clint_Eastwood,Alvaro_Noboa
Harrison_Ford,Sergio_Vieira_De_Mello
